pid,vid,sid,mode,fixed_dev_mem,llm_dev_mem,fixed_reg_mem,llm_reg_mem
Chart,6,5,mem,1252003.2,1213928.0,54980.8,43067.2
Chart,7,1,normal,1402148.8,1462921.6,125673.6,113617.6
Chart,7,2,normal,0.0,0.0,0.0,0.0
Chart,7,3,normal,0.0,0.0,0.0,0.0
Chart,7,4,normal,0.0,0.0,0.0,0.0
Chart,7,5,normal,1486430.4,1116649.6,128956.8,117412.8
Chart,7,1,time,0.0,0.0,0.0,0.0
Chart,7,2,time,1248148.8,1526630.4,103484.8,129448.0
Chart,7,3,time,1547873.6,1460233.6,140574.4,131280.0
Chart,7,4,time,1586200.0,1162539.2,120737.6,130324.8
Chart,7,5,time,0.0,0.0,0.0,0.0
Chart,7,1,mem,0.0,0.0,0.0,0.0
Chart,7,2,mem,1198995.2,1300872.0,125665.6,125152.0
Chart,7,3,mem,1397593.6,1275417.6,130704.0,127385.6
Chart,7,4,mem,1444568.0,1552092.8,122859.2,131483.2
Chart,7,5,mem,1512582.4,1215713.6,137672.0,127270.4
Chart,8,1,normal,0.0,0.0,0.0,0.0
Chart,8,2,normal,0.0,0.0,0.0,0.0
Chart,8,3,normal,1432822.4,1269214.4,65779.2,51558.4
Chart,8,4,normal,1694280.0,1577908.8,57892.8,54950.4
Chart,8,5,normal,0.0,0.0,0.0,0.0
Chart,8,1,time,1493457.6,1295910.4,58756.8,54627.2
Chart,8,2,time,0.0,0.0,0.0,0.0
Chart,8,3,time,1575435.2,1377177.6,58622.4,52084.8
Chart,8,4,time,1355363.2,1440404.8,62212.8,51878.4
Chart,8,5,time,1367756.8,1423888.0,54921.6,48771.2
Chart,8,1,mem,0.0,0.0,0.0,0.0
Chart,8,2,mem,0.0,0.0,0.0,0.0
Chart,8,3,mem,1447984.0,1688852.8,55348.8,55472.0
Chart,8,4,mem,0.0,0.0,0.0,0.0
Chart,8,5,mem,0.0,0.0,0.0,0.0
Compress,12,1,normal,0.0,0.0,0.0,0.0
Compress,12,2,normal,0.0,0.0,0.0,0.0
Compress,12,3,normal,100801.6,311081.6,72660.8,66286.4
Compress,12,4,normal,504828.8,293571.2,71572.8,64865.6
Compress,12,5,normal,459492.8,123638.4,66657.6,64305.6
Compress,12,1,time,294440.0,89592.0,64244.8,60921.6
Compress,12,2,time,493051.2,525220.8,58836.8,64051.2
Compress,12,3,time,0.0,0.0,0.0,0.0
Compress,12,4,time,282022.4,643150.4,64363.2,66972.8
Compress,12,5,time,300796.8,119475.2,69900.8,61403.2
Compress,12,1,mem,0.0,0.0,0.0,0.0
Compress,12,2,mem,0.0,0.0,0.0,0.0
Compress,12,3,mem,308164.8,119406.4,64219.2,56532.8
Compress,12,4,mem,301659.2,288312.0,65385.6,60126.4
Compress,12,5,mem,0.0,0.0,0.0,0.0
Compress,13,1,normal,1207849.6,524745.6,90942.4,81032.0
Compress,13,2,normal,907446.4,1248060.8,88305.6,88353.6
Compress,13,3,normal,342905.6,147441.6,81886.4,87268.8
Compress,13,4,normal,1399678.4,321489.6,82004.8,90400.0
Compress,13,5,normal,0.0,0.0,95158.4,70726.4
Compress,13,1,time,848416.0,493089.6,88561.6,82089.6
Compress,13,2,time,300619.2,488790.4,95465.6,88921.6
Compress,13,3,time,519972.8,843768.0,88150.4,83910.4
Compress,13,4,time,349470.4,1445131.2,88867.2,87859.2
Compress,13,5,time,861862.4,832036.8,67784.0,61043.2
Compress,13,1,mem,175468.8,300012.8,83795.2,87580.8
Compress,13,2,mem,496438.4,689380.8,89168.0,88460.8
Compress,13,3,mem,1564667.2,308195.2,65486.4,74883.2
Compress,13,4,mem,704782.4,1021696.0,53971.2,77998.4
Compress,13,5,mem,1232137.6,496222.4,89672.0,87438.4
Compress,14,1,normal,506691.2,660416.0,31819.2,29436.8
Compress,14,2,normal,318708.8,676361.6,28948.8,33089.6
Compress,14,3,normal,1210817.6,1399558.4,45169.6,44851.2
Compress,14,4,normal,481838.4,685003.2,43460.8,43772.8
Compress,14,5,normal,0.0,0.0,0.0,0.0
Compress,14,1,time,89964.8,497780.8,38203.2,38387.2
Compress,14,2,time,467499.2,1196508.8,39051.2,37532.8
Compress,14,3,time,853689.6,518897.6,37056.0,34377.6
Compress,14,4,time,317248.0,175900.8,36766.4,34905.6
Compress,14,5,time,844326.4,1596073.6,36870.4,41340.8
Compress,14,1,mem,825569.6,325334.4,38096.0,30984.0
Compress,14,2,mem,666054.4,136675.2,30984.0,34448.0
Compress,14,3,mem,525648.0,1953987.2,39131.2,29302.4
Compress,14,4,mem,0.0,0.0,0.0,0.0
Compress,14,5,mem,0.0,0.0,0.0,0.0
Compress,15,1,normal,0.0,0.0,0.0,0.0
Compress,15,2,normal,1176944.0,867518.4,67852.8,35888.0
Compress,15,3,normal,833624.0,881758.4,71953.6,68196.8
Compress,15,4,normal,1256457.6,1590443.2,0.0,0.0
Compress,15,5,normal,1045761.6,1034632.0,74115.2,88366.4
Compress,15,1,time,0.0,0.0,0.0,0.0
