pid,vid,sid,mode,fixed_dev_time,llm_dev_time,fixed_reg_time,llm_reg_time
Chart,11,1,mem,9.208810758590698,9.251303005218507,0.0,0.0
Chart,11,2,mem,9.222398042678833,9.516971492767334,0.0,0.0
Chart,11,3,mem,9.407649040222168,9.254354238510132,2.825921154022217,2.840437412261963
Chart,11,4,mem,0.0,0.0,0.0,0.0
Chart,11,5,mem,9.31403636932373,9.218338298797608,0.0,0.0
Chart,12,1,normal,0.0,0.0,0.0,0.0
Chart,12,2,normal,9.790214776992798,9.318653202056884,3.7452685832977295,3.666942501068115
Chart,12,3,normal,0.0,0.0,0.0,0.0
Chart,12,4,normal,9.405196952819825,9.527085018157958,3.705377626419067,3.6644630432128906
Chart,12,5,normal,0.0,0.0,0.0,0.0
Chart,12,1,time,0.0,0.0,4.04543514251709,4.732998180389404
Chart,12,2,time,0.0,0.0,0.0,0.0
Chart,12,3,time,9.514650297164916,9.345509052276611,3.658051776885986,3.6453967571258543
Chart,12,4,time,0.0,0.0,0.0,0.0
Chart,12,5,time,9.3589457988739,9.638711643218993,3.635708284378052,3.6908254623413086
Chart,12,1,mem,9.344898223876953,9.594123649597169,3.633128833770752,3.6899158477783205
Chart,12,2,mem,0.0,0.0,0.0,0.0
Chart,12,3,mem,0.0,0.0,0.0,0.0
Chart,12,4,mem,9.581635189056396,9.46953797340393,3.587804174423218,3.603829288482666
Chart,12,5,mem,0.0,0.0,4.260620737075806,4.327949094772339
Chart,1,1,normal,11.137283229827881,10.932462406158447,0.0,0.0
Chart,1,2,normal,11.101605749130249,11.22247896194458,0.0,0.0
